Group,NumOfTasks,Succesful
0,10,1.0
0,20,1.0
0,30,1.0
0,40,1.0
0,50,1.0
0,60,0.6
0,70,0.7
0,80,0.5
0,90,0.3
0,100,0.4
0,110,0.3
